Titulo_estudio,Desc_estudio,Tipo_estudio,Desc_punto,Author,Institucion,Sitio,Email,Ano,Archivos,Imagen1,Imagen2,Lat,Lon
Pinturas Rupestres Abra Pampa,"Analisis Pinturas Rupestres Abrapampa, sus originenes tecnicas y posibles informacion de la vida cotidiana representada",arq,Abra Pampa Centro,Juan Arqueologo,Arqueolog,https://ast.wikipedia.org/wiki/Pintura_rupestre,ramirojc@gmail.com,2018,/static/PINTURAS_PAMPA.pdf,https://www.absolutviajes.com/wp-content/uploads/2015/03/pinturas-rupestres.jpg,https://e00-elmundo.uecdn.es/assets/multimedia/imagenes/2018/04/24/15245793901666.jpg,-22.7064933,-65.7182518
Pinturas Rupestres Abra Pampa,"Analisis Pinturas Rupestres Abrapampa, sus originenes tecnicas y posibles informacion de la vida cotidiana representada",arq,Abra Pampa Sur,Juan Arqueologo,Arqueolog,https://ast.wikipedia.org/wiki/Pintura_rupestre,ramirojc@gmail.com,2018,/static/PINTURAS_PAMPA.pdf,https://upload.wikimedia.org/wikipedia/commons/7/76/Pintura_rupestre_de_Cerro_Colorado_02.jpg,https://travelguide.michelin.com/sites/default/files/styles/poi_slideshow/public/images/travel_guide/voyage_media-NX-6463/altamira-caves-1.jpg,-22.7564933,-65.8382518
Pinturas Potrero de la puna,Analisis Pinturas Rupestres en Potrero de la Puna,arq,Potrero 1,Juan Arqueologo,Arqueolog,https://ast.wikipedia.org/wiki/Pintura_rupestre,ramirojc@gmail.com,2018,/static/ESTUDIO_PPUNA.pdf,https://i0.wp.com/www.turistum.com/wp-content/uploads/2015/01/Cerro_Colorado1.jpg?resize=637%2C407,,-22.6848558,-65.6164967
Pinturas Potrero de la puna,Analisis Pinturas Rupestres en Potrero de la Puna,arq,Potrero 2,Juan Arqueologo,Arqueolog,https://ast.wikipedia.org/wiki/Pintura_rupestre,ramirojc@gmail.com,2018,/static/ESTUDIO_PPUNA.pdf,https://media-cdn.tripadvisor.com/media/photo-s/0a/62/1f/d8/pintura-rupestre-de-la.jpg,,-22.5848558,-65.8164967
Seguimiento Roedores,Seguimiento de roedores micromamiferos en la puna,bio,Cochinoca,Carlos Biologo,Biolog,,ramirojc@gmail.com,2019,,https://elguadarramista.files.wordpress.com/2016/06/el-ratc3b3n-moruno-detector-de-los-contaminantes-en-doc3b1ana-e1466942167499.png,https://us.123rf.com/450wm/ecosnap/ecosnap1201/ecosnap120100037/11981485-alerta-de-ratas-silbar-parotomys-brantsii-desierto-de-kalahari-sud%C3%A1frica.jpg?ver=6,-22.7371582,-65.9057185
Seguimiento Anuros,Seguimiento de anuros micromamiferos en la puna,bio,Rio Rachaite,Pedro Biologo,CONICET,,ramirojc@gmail.com,2019,/static/SEGUIMIENTO_ANUROS.pdf,,,-22.7571582,-65.7057185
Estudio Climatico de la Puna,"Seguimiento de valores climaticos, Clasificacion de las estaciones, cosechas y variaciones de temperaturas media.",met,San Salvador de Jujuy,Luisa Clima,Observatorio Clima,https://www.meteored.com.ar/tiempo-en_San+Salvador+de+Jujuy-America+Sur-Argentina-Jujuy--1-16894.html,ramirojc@gmail.com,2018,https://www.meteored.com.ar/tiempo-en_San+Salvador+de+Jujuy-America+Sur-Argentina-Jujuy--1-16894.html,,,-22.818381,-66.007352
Estudio Climatico de la Puna,"Seguimiento de valores climaticos, Clasificacion de las estaciones, cosechas y variaciones de temperaturas media.",met,Humauaca,Luisa Clima,Observatorio Clima,https://www.meteored.com.ar/tiempo-en_Humahuaca-America+Sur-Argentina-Jujuy--1-14913.html,ramirojc@gmail.com,2017,https://www.meteored.com.ar/tiempo-en_Humahuaca-America+Sur-Argentina-Jujuy--1-14913.html,,,-23.2096053,-65.3597292
Caracterizacion Geografica Minas,"Caracterizacion de las formaciones presentes en la region NOA, especificamente Jujuy. Se analizaron la litologia y formaciones.",fis,Mina Pirquitas,Rodolfo Caro,OpenDataLab,www.github.com/ramirojc,ramirojc@gmail.com,2015,http://www.lillo.org.ar/revis/lilloa/2017/v54n2/lilloa-v54n2a11.pdf,https://noalamina.org/wp-content/uploads/2017/02/e3d8e816a4ee57cfacf734af0da746be-640x480.jpg,,-22.7363488,-66.322401
Caracterizacion Geografica Minas,"Caracterizacion de las formaciones presentes en la region NOA, especificamente Jujuy. Se analizaron la litologia y formaciones.",fis,Mina Pan de Azucar,Rodolfo Caro,OpenDataLab,www.github.com/ramirojc,ramirojc@gmail.com,2015,http://www.lillo.org.ar/revis/lilloa/2017/v54n2/lilloa-v54n2a11.pdf,http://www.elinversorenergetico.com/wp-content/uploads/2019/06/02_pirquitas_26536.jpg,,-22.61867,-66.070374
Caracterizacion Geografica Minas,"Caracterizacion de las formaciones presentes en la region NOA, especificamente Jujuy. Se analizaron la litologia y formaciones.",fis,Mina Orosmayo,Rodolfo Caro,OpenDataLab,www.github.com/ramirojc,ramirojc@gmail.com,2015,http://www.lillo.org.ar/revis/lilloa/2017/v54n2/lilloa-v54n2a11.pdf,https://sialamineria.com/download/multimedia.miniatura.b1f0cc4ee1b28727.4368696e6368696c6c61735f6d696e6961747572612e6a7067.jpg,,-22.587501,-66.364551
